Address,City,State,Zip,Price,Bedrooms,Bathrooms,Waterfront_Status,Property_Type,Listing_Status,
520 Cayuga Heights Rd,Ithaca,NY,14850,1850000,6,6,Non-Waterfront,Single-Family,Active,
20 Renwick Heights Rd,Ithaca,NY,14850,649500,4,2,Non-Waterfront,Single-Family,Active,
2600 N Triphammer Rd,Ithaca,NY,14850,474000,4,2,Non-Waterfront,Single-Family,Active,
152 N Sunset Dr,Ithaca,NY,14850,625000,2,4,Non-Waterfront,Single-Family,Active,
92 Genung Cir,Ithaca,NY,14850,1750000,4,8,Non-Waterfront,Single-Family,Active,
5 Tyler Rd,Ithaca,NY,14850,685000,4,3,Non-Waterfront,Single-Family,Active,
51 Waterview Hts,Ithaca,NY,14850,1595000,5,6,Non-Waterfront,Single-Family,Active,
122 Autumn Ridge Cir,Ithaca,NY,14850,699000,3,2,Non-Waterfront,Single-Family,Active,
290 Algerine Rd,Lansing,NY,14882,1570000,4,3,Waterfront,Single-Family,Pending,
212 Wilson Rd,Lansing,NY,14882,450000,4,2,Non-Waterfront,Single-Family,Active,
5 Fiddlers Grn,Lansing,NY,14882,789000,4,4,Non-Waterfront,Single-Family,Active,
424 Lansingville Rd,Lansing,NY,14882,605000,3,3,Non-Waterfront,Single-Family,Active,
165 Reach Run,Lansing,NY,14882,1780000,4,5,Waterfront,Single-Family,Pending,
22 Ladoga Park Road W,Lansing,NY,14882,1455000,3,3,Waterfront,Single-Family,Active,
2429 Lower Lake Rd,Seneca Falls,NY,13148,699000,2,3,Waterfront,Single-Family,Active,
134 Cayuga St,Seneca Falls,NY,13148,235000,2,1,Non-Waterfront,Single-Family,Active,
2138 Route 89,Seneca Falls,NY,13148,795000,6,6,Waterfront,Single-Family,Active,
19 Seneca St,Seneca Falls,NY,13148,39000,4,1,Non-Waterfront,Single-Family,Active,
321 Fall St,Seneca Falls,NY,13148,214900,0,2,Non-Waterfront,Single-Family,Active,
1990 Rt 318,Seneca Falls,NY,13148,75000,4,2,Non-Waterfront,Single-Family,Active,
69 Cayuga St,Seneca Falls,NY,13148,499900,6,N/A,Non-Waterfront,Single-Family,Active,
5203 State Route 38a,Auburn,NY,13021,399999,6,7,Non-Waterfront,Single-Family,Active,
5902 North Rd,Auburn,NY,13021,298000,3,2,Non-Waterfront,Single-Family,Active,
342 Fire Ln #16A,Auburn,NY,13021,349900,3,2,Waterfront,Single-Family,Active,
3276 Walker Rd,Auburn,NY,13021,325000,3,4,Non-Waterfront,Single-Family,Active,
12 Orchard Ave,Auburn,NY,13021,105000,3,1,Non-Waterfront,Single-Family,Active,
4454 Rockefeller Rd,Auburn,NY,13021,199900,4,1,Non-Waterfront,Single-Family,Active,
151 Burtis Point Rd,Auburn,NY,13021,899000,2,2,Waterfront,Single-Family,Active,
367 Waters Edge,Auburn,NY,13021,1199000,4,3,Waterfront,Single-Family,Active,
6382 E Lake Rd,Auburn,NY,13021,444995,3,3,Waterfront,Single-Family,Active,
5416 W Lake Rd,Auburn,NY,13021,675000,4,2,Waterfront,Single-Family,Active,
2950 Holland Dr,Auburn,NY,13021,495000,3,2,Waterfront,Single-Family,Active,
5388 W Lake Rd,Auburn,NY,13021,649000,4,2,Waterfront,Single-Family,Active,
5896 W Lake Rd,Auburn,NY,13021,724900,3,3,Waterfront,Single-Family,Active,
5199 W Lake Rd,Auburn,NY,13021,999900,3,2,Waterfront,Single-Family,Active,
5017 W Lake Rd,Auburn,NY,13021,800000,4,2,Waterfront,Single-Family,Active,
5567 W Lake Rd,Auburn,NY,13021,639000,3,3,Waterfront,Single-Family,Active,
4700 W Lake Rd,Auburn,NY,13021,1199900,6,3,Waterfront,Single-Family,Active,
62 Mary St,Auburn,NY,13021,292500,3,2,Non-Waterfront,Single-Family,Active,
288 Genesee St,Auburn,NY,13021,249900,6,2,Non-Waterfront,Multi-Family,Active,
111 Palmer St,Auburn,NY,13021,219900,2,2,Non-Waterfront,Single-Family,Active,
9 Cayuga St,Auburn,NY,13021,230000,6,2,Non-Waterfront,Multi-Family,Active,
17 North Park,Auburn,NY,13021,199000,3,2,Non-Waterfront,Single-Family,Active,
136 Osborne St,Auburn,NY,13021,169000,3,2,Non-Waterfront,Single-Family,Active,
1 Alden Ave,Auburn,NY,13021,349900,3,2,Non-Waterfront,Single-Family,Active,
5601 Buck Point Rd,Fleming,NY,13021,899000,5,5,Waterfront,Single-Family,Active,
4999 Ridge Rd,Union Springs,NY,13160,264900,3,1,Non-Waterfront,Single-Family,Active,
4338 State Route 90,Springport,NY,13160,979000,3,2,Waterfront,Single-Family,Active,
4319 State Route 90,Springport,NY,13160,319000,3,3,Waterfront,Single-Family,Active,
3 Blue Bird Ln,Springport,NY,13160,184900,3,2,Non-Waterfront,Single-Family,Active,
1228 Fitzpatrick Rd,Springport,NY,13021,1100000,2,2,Waterfront,Single-Family,Active,
2753 Centennial St,Weedsport,NY,13166,229900,4,2,Non-Waterfront,Single-Family,Active,
2540 Emerson Rd,Weedsport,NY,13166,245000,5,2,Non-Waterfront,Single-Family,Active,
8456 Jericho Rd,Weedsport,NY,13166,440000,3,3,Non-Waterfront,Single-Family,Active,
43 White Anchor Cv,Jordan,NY,13080,800000,4,2,Waterfront,Single-Family,Active,
129 Fire Ln #13,Jordan,NY,13080,369000,4,2,Waterfront,Single-Family,Active,
252 Fire Lane 13,Jordan,NY,13080,N/A,3,1,Waterfront,Single-Family,Active,
98 Krystyna Ln Unit 6,Jordan,NY,13080,N/A,3,N/A,Non-Waterfront,Single-Family,Active,
1418 Sterling Station Rd,Sterling,NY,13156,299900,5,2,Non-Waterfront,Single-Family,Active,
447 State Route 104a,Sterling,NY,13156,425000,4,3,Non-Waterfront,Single-Family,Active,
14922 N Hadcock Dr,Sterling,NY,13156,629000,3,3,Waterfront,Single-Family,Active,
1270 Lake Como Rd,Cortland,NY,13045,259900,3,1,Waterfront,Single-Family,Active,
3423 State Route 34 Rd,Scipio Center,NY,13147,499900,4,2,Non-Waterfront,Single-Family,Active,
3387 State Route 34b,Scipio Center,NY,13147,299900,3,1,Non-Waterfront,Single-Family,Active,
179 Main St,Port Byron,NY,13140,126700,3,2,Non-Waterfront,Single-Family,Active,
1274 Haiti Rd,Port Byron,NY,13140,69900,1,1,Waterfront,Single-Family,Active,
735 Howell Rd,Port Byron,NY,13140,699000,3,3,Waterfront,Single-Family,Active,
7948 State Street Rd,Port Byron,NY,13140,269000,3,2,Non-Waterfront,Single-Family,Active,
253 Wheat St,Cayuga,NY,13034,259000,3,1,Non-Waterfront,Single-Family,Active,
6188 Lake St,Cayuga,NY,13034,649000,4,N/A,Waterfront,Single-Family,Active,
6487 State Route 90 N,Cayuga,NY,13034,325000,2,1,Waterfront,Single-Family,Pending,
6166 Lake St,Cayuga,NY,13034,269000,4,3,Waterfront,Single-Family,Pending,
1059 State Route 326,Cayuga,NY,13034,219900,4,1,Non-Waterfront,Single-Family,Pending,
6251 Willard St,Cayuga,NY,13034,229900,2,1,Non-Waterfront,Single-Family,Pending,
6170 Lake St,Cayuga,NY,13034,749999,5,2,Waterfront,Single-Family,Pending,
6198 Lake St,Cayuga,NY,13034,749999,4,2,Waterfront,Single-Family,Pending,
232 N Main St,Moravia,NY,13118,179900,2,2,Non-Waterfront,Single-Family,Active,
4592 Riley Rd,Moravia,NY,13118,404900,3,2,Non-Waterfront,Single-Family,Active,
18 Fire Ln #4,Moravia,NY,13118,1397000,3,2,Waterfront,Single-Family,Active,
399 Fire Ln SUITE 34,Moravia,NY,13118,499000,2,1,Waterfront,Single-Family,Active,
483 Indian Cv,Moravia,NY,13118,825000,3,2,Waterfront,Single-Family,Active,
2846 Fire Ln #1,Moravia,NY,13118,699999,0,2,Waterfront,Single-Family,Active,
1988 State Route 38a,Moravia,NY,13118,262000,5,2,Non-Waterfront,Single-Family,Active,
784 Tollgate Hill Rd,Locke,NY,13092,274900,3,1,Non-Waterfront,Single-Family,Active,
1817 Honoco Rd,Aurora,NY,13026,759000,3,2,Waterfront,Single-Family,Active,
1653 Honoco Rd,Aurora,NY,13026,1599900,4,4,Waterfront,Single-Family,Active,
1353 Honoco Rd,Aurora,NY,13026,1150000,3,3,Waterfront,Single-Family,Active,
1183 Honoco Rd,Aurora,NY,13026,549000,2,1,Waterfront,Single-Family,Active,
1659 Honoco Rd,Aurora,NY,13026,944900,3,2,Waterfront,Single-Family,Active,
237 Main St,Aurora,NY,13026,675000,3,2,Waterfront,Single-Family,Active,
245 Main St,Aurora,NY,13026,625000,5,5,Waterfront,Multi-Family,Active,
120 Ridings Dr,Homer,NY,13077,930000,2,1,Waterfront,Single-Family,Active,
126 Ridings Dr,Homer,NY,13077,1200000,3,2,Waterfront,Single-Family,Active,
1077 - 1079 Taughannock Boulevard,Ithaca Town,NY,N/A,2200000,8,7,Waterfront,Single-Family,Active Under Contract,
1121 Taughannock Boulevard,Ulysses,NY,N/A,1799000,4,3,Waterfront,Single-Family,Active Under Contract,
5493 State Route 89,Varick,NY,N/A,1699900,4,3,Waterfront,Single-Family,Active,
3092 Route 89,Fayette,NY,N/A,1289000,4,3,Waterfront,Single-Family,Pending,
955 Fire Lane 6,Genoa,NY,N/A,1178800,4,3,Waterfront,Single-Family,Active,
8123 Bainbridge Beach Road,Covert,NY,N/A,997500,3,2,Waterfront,Single-Family,Active,
7059 Wyers Point Beach Road,Ovid,NY,N/A,989000,6,3,Waterfront,Single-Family,Active,
7374 Wyers Point Road,Ovid,NY,14521,799900,4,2,Waterfront,Single-Family,Active,
641 Fire Lane 5,King Ferry,NY,13081,1300000,3,2,Waterfront,Single-Family,Active,
7658 County Road 153,Interlaken,NY,14847,1348000,5,3,Waterfront,Single-Family,Active,
1505 Gray Rd,Ledyard,NY,13160,399900,5,2,Non-Waterfront,Single-Family,Active,
1 Curtis St,Mentz,NY,13140,79500,2,1,Non-Waterfront,Single-Family,Active,
8089 State Route 90,Montezuma,NY,13117,99900,3,2,Non-Waterfront,Single-Family,Active,
6794 Fosterville Rd,Aurelius,NY,13021,599000,4,1,Non-Waterfront,Single-Family,Active,
269 E Lake Rd,Conquest,NY,13140,79000,1,1,Waterfront,Single-Family,Active,
245 Fire Lane 17,Cato,NY,13033,169900,1,1,Waterfront,Single-Family,Active,
4500 W Lake Rd,Skaneateles,NY,13152,3999000,5,6,Waterfront,Single-Family,Active,
1077 - 1079 Taughannock Boulevard,Ithaca,NY,N/A,2200000,8,7,Waterfront,Single-Family,Active Under Contract,
4525 Rt-89,Varick,NY,N/A,2195000,4,4,Waterfront,Single-Family,Pending,
9341 Kingtown Beach Road,Covert,NY,N/A,1250000,3,2,Waterfront,Single-Family,Pending,
581 Lansing Station Road,Lansing,NY,N/A,1200000,4,3,Waterfront,Single-Family,Pending,
1719 Honoco Road,Ledyard,NY,N/A,995000,3,2,Waterfront,Single-Family,Pending,
2151 Pumphouse Road,N/A,NY,N/A,N/A,3,3,Waterfront,Single-Family,Active,
6800 Rte 89,Ovid,NY,N/A,1195000,N/A,N/A,Waterfront,Commercial,Active,
4489 State Route 89,N/A,NY,N/A,875000,3,3,Waterfront,Single-Family,Pending,
419 Cayuga Heights Road,Ithaca,NY,14850,798500,4,3,Non-Waterfront,Single-Family,Active,
0 Hillcrest Dr #2,Ithaca,NY,14850,540000,N/A,N/A,Non-Waterfront,Land,Active,
0 Blackchin Blvd #37,Ithaca,NY,14850,292000,N/A,N/A,Non-Waterfront,Land,Active,
0 Mecklenburg Rd,Ithaca,NY,14850,2250000,N/A,N/A,Non-Waterfront,Land,Active,
Cayuga Vista Dr,Lansing,NY,14882,350000,N/A,N/A,Non-Waterfront,Land,Active,
Court St,Cayuga,NY,13034,39000,N/A,N/A,Non-Waterfront,Land,Active,
3625 State Route 90 Lot 4 & 4a&b,Ledyard,NY,13026,1000000,N/A,N/A,Waterfront,Land,Active,
110 Main Street,Ledyard,NY,N/A,999900,N/A,N/A,Waterfront,Land,Active,
27 & 29 Chestnut St #47,Seneca Falls,NY,13148,20000,N/A,N/A,Non-Waterfront,Land,Active,
5234 Oak Harbor Road,N/A,NY,N/A,325000,N/A,N/A,Waterfront,Land,Active,
5217 Oak Harbor Road,N/A,NY,N/A,290000,N/A,N/A,Waterfront,Land,Active,
4040 County Road 141 Road,N/A,NY,N/A,199000,N/A,N/A,Non-Waterfront,Land,Active,
152 Campbell Avenue,N/A,NY,N/A,99000,N/A,N/A,Non-Waterfront,Land,Active,
